quarter_start_date,year,quarter,all_upi_transactions_bn,all_upi_value_crore,all_upi_average_ticket_inr,nfs_atm_withdrawals_bn,nfs_atm_withdrawal_value_crore,nfs_atm_average_withdrawal_inr,all_upi_volume_index_first_quarter_100,nfs_atm_volume_index_first_quarter_100
2020-07-01,2020,Q3,491.63480000000004,917877.32,1866.9901316993833,88.8151,363770.96,4095.823345354562,100.0,100.0
2020-10-01,2020,Q4,651.6006,1193282.14,1831.3091485796665,102.6059,423693.68,4129.3305745576035,132.53752582201258,115.52753979897562
2021-01-01,2021,Q1,732.7307000000001,1361131.11,1857.6144141360528,102.1451,419162.75,4103.60115169499,149.03963267042937,115.00870910464549
2021-04-01,2021,Q2,797.7759,1530142.45,1918.0103710829069,83.8374,356866.12,4256.645840639142,162.27002238246763,94.39543501048809
2021-07-01,2021,Q3,1045.6864,1899648.43,1816.6521339476158,96.2852,390564.38,4056.3282830590783,212.69576523061426,108.410844552334
2021-10-01,2021,Q4,1297.1211,2366691.31,1824.5723625959056,102.4255,425840.58,4157.564083162884,263.8383409799306,115.3244211851363
2022-01-01,2022,Q1,1455.0295999999998,2619417.78,1800.250510367624,96.62270000000001,401987.17,4160.380221210958,295.95740578168994,108.79084750228283
2022-04-01,2022,Q2,1739.3585,3038206.6,1746.7397319184056,101.3202,423393.36,4178.765537375568,353.79076094694676,114.07992559823724
2022-07-01,2022,Q3,1965.2045,3252717.3,1655.1546162244183,100.0082,405891.06,4058.5777966206774,399.72851799750543,112.6026993157695
2022-10-01,2022,Q4,2244.3763,3684151.75,1641.503588324293,102.0563,421319.66,4128.306238811323,456.5129034803883,114.90872610625894
2023-01-01,2023,Q1,2422.4979000000003,3939855.95,1626.3609351322864,98.9334,411680.28,4161.186009982473,492.74337374002,111.39254473619914
2023-04-01,2023,Q2,2761.3509000000004,4380114.41,1586.2215881364443,99.69969999999999,424757.79,4260.3717965049045,561.6670951690157,112.2553484711496
2023-07-01,2023,Q3,3110.5959000000003,4689206.18,1507.4944900428884,97.5091,402149.84,4124.228815566958,632.7045807172316,109.78887599068176
2023-10-01,2023,Q4,3466.4308,5278458.4,1522.735835372799,98.43879999999999,415669.79,4222.621466332382,705.0824717859679,110.83565745014079
2024-01-01,2024,Q1,3774.5695,5647306.55,1496.1458651112398,94.7016,404475.56,4271.053076188787,767.758812028766,106.62781441444079
2024-04-01,2024,Q2,4122.497899999999,6016482.77,1459.4265214786406,92.302,401675.47,4351.752616411345,838.5284971690368,103.9260215886713
2024-07-01,2024,Q3,4444.034799999999,6189022.69,1392.6584665808648,89.5968,379589.44,4236.640594306939,903.9300716710859,100.88014312881481
2024-10-01,2024,Q4,4879.6996,6829708.81,1399.6166505823433,90.1591,394409.81,4374.597905258593,992.5456049897199,101.51325619179622
2025-01-01,2025,Q1,5140.3702,7021740.4,1365.9989702687171,85.0703,380551.13,4473.3723755529245,1045.5667906340234,95.78359986083449
