state_slug,state_name,latest_quarter_start_date,latest_quarter_transactions_mn,latest_quarter_transaction_value_inr_trillion,transaction_count_yoy_pct,latest_rolling_4q_transactions_mn,rolling_4q_transaction_growth_pct,transactions_per_resident,registered_users_per_100_residents,transactions_per_registered_user,merchants_per_100_residents,retail_share_pct,business_question_to_investigate
maharashtra,Maharashtra,2026-04-01,5064.451991,5.465176553156588,25.48434849496639,18818.214968,26.62438708691457,39.16580560367495,65.01952083397778,60.23699513824739,4.728085655953228,67.39137042004195,Protect high-use core market experience
karnataka,Karnataka,2026-04-01,4491.711923,5.292341222754253,20.41862167903745,16637.065798,17.353494843682938,65.13314467387836,76.17934514660247,85.49974346528397,4.793160001160059,67.52688999196087,Protect high-use core market experience
telangana,Telangana,2026-04-01,3878.23244,5.128045744092088,27.386575887555953,14163.401532,23.86856209139676,100.37872554094626,94.41939382958898,106.31155472371796,6.423938813541774,66.02590088695148,Protect high-use core market experience
uttar-pradesh,Uttar Pradesh,2026-04-01,3665.30624,3.9387054615739885,27.52864290252535,13162.048961,27.532962202844757,15.092322046949052,37.29077036469721,40.472003928448736,3.2390004076439416,62.56024615285625,Protect high-use core market experience
andhra-pradesh,Andhra Pradesh,2026-04-01,3245.956863,4.623697374921955,28.252105169231754,11856.425167,27.042652202337013,60.43599514047925,63.91407771509431,94.558190153163,3.7832542032061665,60.956377934465486,Protect high-use core market experience
rajasthan,Rajasthan,2026-04-01,2553.428529,3.189512812270464,17.108036562087236,9671.95514,18.109299147648205,30.5280663900911,52.23726118457235,58.44116957476937,3.962447095956577,64.19900797622834,Protect high-use core market experience
bihar,Bihar,2026-04-01,2289.051873,2.678141315406162,27.61010060773661,8214.243067,31.66231660742764,17.30655784221071,33.8815945261407,51.07952587313495,2.326247306543681,56.58297006185845,Protect high-use core market experience
madhya-pradesh,Madhya Pradesh,2026-04-01,2283.838085,2.5683760731769443,24.302736710593287,8551.869459,26.187331283057436,25.46851432426706,44.710645344752606,56.96297632898321,3.506502514692271,63.77756600026223,Protect high-use core market experience
west-bengal,West Bengal,2026-04-01,1782.353009,2.2118381137003067,26.358968812991,6604.807945,31.151860286096067,17.73097440361314,43.047792523029784,41.18904446523568,3.612638029486083,56.43337716608304,Protect high-use core market experience
odisha,Odisha,2026-04-01,1523.13001,1.6663121393984246,21.51307069748767,5730.713032,24.781920932140757,34.092038632853594,50.555798285471276,67.4344779214988,3.2112899254650045,61.23945381392623,Protect high-use core market experience
delhi,Delhi,2026-04-01,1171.904826,1.1765609664769012,18.57144137338549,4416.986206,19.696629227602113,51.99222830523514,94.27773291925465,55.14794076536029,8.402417923691216,68.51053858532366,Protect high-use core market experience
gujarat,Gujarat,2026-04-01,1157.902686,1.2976888876883446,25.92621085258562,4378.988636,28.16002537672255,15.629169964635693,48.70539913073995,32.08919389549051,2.883754015603488,65.3938734364418,Investigate activation of existing registered users
haryana,Haryana,2026-04-01,1130.714938,1.2635086784559892,20.0972924128386,4198.589807,22.031976191396097,36.126232084092145,72.97109492316048,49.50759218034694,5.453292437458066,67.93797049844936,Protect high-use core market experience
tamil-nadu,Tamil Nadu,2026-04-01,1049.292967,1.3167043952666158,19.23192664280007,4000.99201,19.070160221428132,13.53123264900833,51.92278905423877,26.06029625040663,3.041831944910118,63.62785799554492,Investigate activation of existing registered users
jharkhand,Jharkhand,2026-04-01,815.309961,0.9089726924331182,22.44970953272738,3014.316388,26.96217854497771,19.90600031739831,38.55237072122662,51.633660771056626,2.577633185214122,61.16229775831231,Protect high-use core market experience
chhattisgarh,Chhattisgarh,2026-04-01,646.201571,0.6784013524612694,21.870087112269985,2445.094467,23.98250579812973,20.704289224952742,42.2695011374195,48.98162662871851,2.29347345487168,62.287972060655974,Protect high-use core market experience
assam,Assam,2026-04-01,549.125066,0.5196960793528689,33.11385345238074,1975.963948,38.68284652623086,14.955608192390446,38.389642399978214,38.95740428256486,2.680850832039655,57.31134043697069,Protect high-use core market experience
kerala,Kerala,2026-04-01,294.649816,0.3355014922272559,24.060224162923284,1121.391733,20.055584003987814,8.137924047836053,45.03206562266965,18.071398536378332,3.014897671720938,65.14389202944555,Monitor; validate with local and product data
punjab,Punjab,2026-04-01,282.364073,0.36962973468683974,28.5921898613434,1028.196844,24.99229040639859,9.016031451561402,45.007181173765886,20.032428640113842,3.0615364965834346,62.67398225269261,Monitor; validate with local and product data
uttarakhand,Uttarakhand,2026-04-01,247.026782,0.2552346027765167,21.941459498001016,853.222606,20.4022699776107,20.59758042191278,56.32553989827399,36.56881134049097,4.1190027516051035,66.37509490772543,Investigate activation of existing registered users
jammu-&-kashmir,Jammu & Kashmir,2026-04-01,187.742125,0.20302838012551697,20.54140765255148,666.875988,24.23972952687201,13.510515616004605,40.6281375935521,33.25408550882922,2.6276194588370756,62.57259525532695,Monitor; validate with local and product data
himachal-pradesh,Himachal Pradesh,2026-04-01,74.853009,0.0820681470698256,17.13552481412819,260.810418,15.440951171716243,9.876370101596518,47.404789550072564,20.834118652007383,2.0344504552051723,64.10482309401884,Investigate activation of existing registered users
goa,Goa,2026-04-01,55.208797,0.06908980830424542,20.617820955864087,209.480232,17.51987339194361,34.527077548467794,84.2989368355222,40.957903912637065,2.27667292057536,67.90263515432152,Monitor; validate with local and product data
arunachal-pradesh,Arunachal Pradesh,2026-04-01,40.632514,0.04749494748135701,30.435369084216735,149.244688,34.61469921987532,25.33199127182045,59.30423940149626,42.71531264454817,2.1898379052369075,60.76597180277844,Investigate merchant acceptance/onboarding
dadra-&-nagar-haveli-&-daman-&-diu,Dadra & Nagar Haveli and Daman & Diu,2026-04-01,33.036223,0.026552512651741744,17.04450725874056,130.746057,22.03363182182041,21.438171966255677,44.4805321219987,48.19675247466974,1.816482803374432,69.29322398628923,Monitor; validate with local and product data
chandigarh,Chandigarh,2026-04-01,25.137055,0.02523329172869225,24.10009484846265,92.73482,20.964154599729113,19.839822415153908,65.43985793212312,30.3176428587797,5.07861089187056,70.96435123366679,Investigate activation of existing registered users
tripura,Tripura,2026-04-01,22.862994,0.02674311033073658,21.91499211922259,86.665873,27.477387719058232,5.3669,29.156877934272302,18.40697763353979,1.2947652582159626,56.67725758052511,Monitor; validate with local and product data
meghalaya,Meghalaya,2026-04-01,22.400813,0.024333710508629813,29.452696176418215,82.041039,39.14646394371364,6.511864244186047,23.874273255813954,27.27565431798119,0.6329069767441861,48.37375322047463,Monitor; validate with local and product data
puducherry,Puducherry,2026-04-01,20.671909,0.023907680131681885,18.152099206590755,77.721548,15.473695996322023,11.765457598178713,41.18173022196927,28.569604858180973,2.91969265793967,69.0502168909509,Monitor; validate with local and product data
sikkim,Sikkim,2026-04-01,14.956244,0.018254633450456557,34.054541453736654,52.248064,37.970117918781085,21.124638418079098,57.50042372881355,36.73823086540752,1.352542372881356,58.29696947977045,Investigate both activation and merchant acceptance
nagaland,Nagaland,2026-04-01,12.358326,0.01637130430489,30.673430461374586,45.741798,38.799809960367135,5.387238884045336,26.26290322580645,20.51273173314566,0.8385353095030514,49.22370554070187,Monitor; validate with local and product data
manipur,Manipur,2026-04-01,10.459691,0.01697915923982669,21.615334216601447,40.313558,44.07917586694163,3.1590730897009967,25.79389912413168,12.24736545063674,1.0406523708849291,43.52032005534389,Monitor; validate with local and product data
ladakh,Ladakh,2026-04-01,9.257425,0.015460287202182687,20.95340143449349,30.163775,19.79596645513171,30.352213114754097,82.26918032786885,36.893783302314276,0.8773770491803279,56.933855796833356,Investigate both activation and merchant acceptance
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2026-04-01,7.753095,0.010442295042827308,21.61204491920263,30.058953,24.820944637615906,19.096293103448275,54.37413793103448,35.12017630085297,1.4258620689655173,63.40176406970377,Investigate activation of existing registered users
mizoram,Mizoram,2026-04-01,4.630626,0.006078019513264362,36.242767678639986,16.836698,43.95644412227446,3.640429245283019,27.44261006289308,13.2656086171828,1.9172169811320756,48.19603224272485,Monitor; validate with local and product data
lakshadweep,Lakshadweep,2026-04-01,0.371196,0.00037057751373089493,31.543024813420928,1.345706,37.16158228944766,5.3028,26.312857142857144,20.15288560725338,0.5342857142857144,67.00206898781236,Monitor; validate with local and product data
