financial_year,state_slug,state_name,per_capita_nsdp_current_inr,price_basis,series_base_year,source_table,source_url,availability_note
2023-24,andhra-pradesh,Andhra Pradesh,237951,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,arunachal-pradesh,Arunachal Pradesh,217325,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,assam,Assam,143852,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,bihar,Bihar,62201,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,chhattisgarh,Chhattisgarh,148922,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,goa,Goa,585953,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,gujarat,Gujarat,300957,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,haryana,Haryana,319363,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,himachal-pradesh,Himachal Pradesh,234721,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,jharkhand,Jharkhand,106529,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,karnataka,Karnataka,339813,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,kerala,Kerala,281269,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,madhya-pradesh,Madhya Pradesh,139713,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,maharashtra,Maharashtra,278681,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,manipur,Manipur,119938,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,meghalaya,Meghalaya,141195,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,mizoram,Mizoram,234996,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,nagaland,Nagaland,154828,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,odisha,Odisha,150414,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,punjab,Punjab,205374,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,rajasthan,Rajasthan,166647,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,sikkim,Sikkim,587743,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,tamil-nadu,Tamil Nadu,313329,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
