date,year,month,quarter,payment_mode,volume_lakh,value_crore,source_resource_id
2020-06-01,2020,6,Q2,IMPS,76.81,9072.55,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-01,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,105.82,4764.81,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-01,2020,6,Q2,UPI,476.97,10413.11,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-02,2020,6,Q2,IMPS,72.25,8215.41,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-02,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,105.13,4781.97,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-02,2020,6,Q2,UPI,476.78,9951.3,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-03,2020,6,Q2,IMPS,68.15,7653.71,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-03,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,99.49,4426.92,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-03,2020,6,Q2,UPI,456.26,9622.38,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-04,2020,6,Q2,IMPS,70.69,7705.89,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-04,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,101.38,4424.53,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-04,2020,6,Q2,UPI,463.05,9639.5,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-05,2020,6,Q2,IMPS,73.0,7705.25,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-05,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,101.19,4321.01,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-05,2020,6,Q2,UPI,464.79,9539.52,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-06,2020,6,Q2,IMPS,70.35,7076.03,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-06,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,106.47,4539.73,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-06,2020,6,Q2,UPI,458.65,9119.2,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-07,2020,6,Q2,IMPS,54.25,4350.25,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-07,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,88.97,3389.12,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-07,2020,6,Q2,UPI,427.26,6875.0,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-08,2020,6,Q2,IMPS,71.3,8143.19,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-08,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,109.96,4663.92,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-08,2020,6,Q2,UPI,469.99,10062.17,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-09,2020,6,Q2,IMPS,69.55,7725.25,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-09,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,109.51,4612.79,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-09,2020,6,Q2,UPI,466.98,9786.86,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-10,2020,6,Q2,IMPS,69.48,7650.2,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-10,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,109.87,4616.18,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-10,2020,6,Q2,UPI,461.58,9839.41,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-11,2020,6,Q2,IMPS,68.71,7424.38,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-11,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,105.44,4425.35,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-11,2020,6,Q2,UPI,449.65,9499.97,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-12,2020,6,Q2,IMPS,68.24,7365.12,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-12,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,106.37,4439.67,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-12,2020,6,Q2,UPI,453.43,9288.43,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-13,2020,6,Q2,IMPS,47.25,4517.0,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-13,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,100.3,4090.22,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-13,2020,6,Q2,UPI,289.0,4333.74,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-14,2020,6,Q2,IMPS,57.41,4388.98,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-14,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,80.5,2920.07,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-14,2020,6,Q2,UPI,435.87,7238.23,1f9367ac-01b0-4c82-83a1-4069d4340667
