monthly_date,year,month,quarter,payment_mode,days_observed,calendar_days,volume_lakh,value_crore
2020-06-01,2020,6,Q2,IMPS,30,30,1989.15,206950.81
2020-06-01,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,30,30,2903.72,118665.23
2020-06-01,2020,6,Q2,UPI,30,30,13369.33,261835.51
2020-07-01,2020,7,Q3,IMPS,31,31,2220.99,225775.28
2020-07-01,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,31,31,2839.06,117726.63
2020-07-01,2020,7,Q3,UPI,31,31,14973.54,290537.86
2020-08-01,2020,8,Q3,IMPS,31,31,2461.24,235137.00
2020-08-01,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,31,31,2976.69,121710.91
2020-08-01,2020,8,Q3,UPI,31,31,16188.27,298307.62
2020-09-01,2020,9,Q3,IMPS,30,30,2796.08,248661.75
2020-09-01,2020,9,Q3,NFS_ATM_CASH_WITHDRAWAL,30,30,3065.76,124333.42
2020-09-01,2020,9,Q3,UPI,30,30,18001.67,329031.84
2020-10-01,2020,10,Q4,IMPS,31,31,3189.72,274644.72
2020-10-01,2020,10,Q4,NFS_ATM_CASH_WITHDRAWAL,31,31,3399.34,141160.60
2020-10-01,2020,10,Q4,UPI,31,31,20716.19,386106.74
2020-11-01,2020,11,Q4,IMPS,30,30,3391.16,276459.10
2020-11-01,2020,11,Q4,NFS_ATM_CASH_WITHDRAWAL,30,30,3415.19,143423.48
2020-11-01,2020,11,Q4,UPI,30,30,22102.29,390999.17
2020-12-01,2020,12,Q4,IMPS,31,31,3556.93,292324.71
2020-12-01,2020,12,Q4,NFS_ATM_CASH_WITHDRAWAL,31,31,3446.06,139109.60
2020-12-01,2020,12,Q4,UPI,31,31,22341.58,416176.23
2021-01-01,2021,1,Q1,IMPS,31,31,3465.52,288537.52
2021-01-01,2021,1,Q1,NFS_ATM_CASH_WITHDRAWAL,31,31,3452.67,140815.28
2021-01-01,2021,1,Q1,UPI,31,31,23027.28,431181.90
2021-02-01,2021,2,Q1,IMPS,28,28,3189.73,275230.37
2021-02-01,2021,2,Q1,NFS_ATM_CASH_WITHDRAWAL,28,28,3218.53,132140.45
2021-02-01,2021,2,Q1,UPI,28,28,22928.94,425062.76
2021-03-01,2021,3,Q1,IMPS,31,31,3631.44,327236.07
