year,quarter,quarter_start_date,payment_mode,months_included,days_observed,volume_lakh,value_crore
2020,Q3,2020-07-01,IMPS,3,92,7478.31,709574.03
2020,Q3,2020-07-01,NFS_ATM_CASH_WITHDRAWAL,3,92,8881.51,363770.96
2020,Q3,2020-07-01,UPI,3,92,49163.48,917877.32
2020,Q4,2020-10-01,IMPS,3,92,10137.81,843428.53
2020,Q4,2020-10-01,NFS_ATM_CASH_WITHDRAWAL,3,92,10260.59,423693.68
2020,Q4,2020-10-01,UPI,3,92,65160.06,1193282.14
2021,Q1,2021-01-01,IMPS,3,90,10286.69,891003.96
2021,Q1,2021-01-01,NFS_ATM_CASH_WITHDRAWAL,3,90,10214.51,419162.75
2021,Q1,2021-01-01,UPI,3,90,73273.07,1361131.11
2021,Q2,2021-04-01,IMPS,3,91,9066.74,849942.57
2021,Q2,2021-04-01,NFS_ATM_CASH_WITHDRAWAL,3,91,8383.74,356866.12
2021,Q2,2021-04-01,UPI,3,91,79777.59,1530142.45
2021,Q3,2021-07-01,IMPS,3,92,11170.60,955609.39
2021,Q3,2021-07-01,NFS_ATM_CASH_WITHDRAWAL,3,92,9628.52,390564.38
2021,Q3,2021-07-01,UPI,3,92,104568.64,1899648.43
2021,Q4,2021-10-01,IMPS,3,92,12856.86,1131796.39
2021,Q4,2021-10-01,NFS_ATM_CASH_WITHDRAWAL,3,92,10242.55,425840.58
2021,Q4,2021-10-01,UPI,3,92,129712.11,2366691.31
2022,Q1,2022-01-01,IMPS,3,90,13531.05,1233689.60
2022,Q1,2022-01-01,NFS_ATM_CASH_WITHDRAWAL,3,90,9662.27,401987.17
2022,Q1,2022-01-01,UPI,3,90,145502.96,2619417.78
2022,Q2,2022-04-01,IMPS,3,91,14121.40,1340774.06
2022,Q2,2022-04-01,NFS_ATM_CASH_WITHDRAWAL,3,91,10132.02,423393.36
2022,Q2,2022-04-01,UPI,3,91,173935.85,3038206.60
2022,Q3,2022-07-01,IMPS,3,92,13899.70,1344981.25
2022,Q3,2022-07-01,NFS_ATM_CASH_WITHDRAWAL,3,92,10000.82,405891.06
2022,Q3,2022-07-01,UPI,3,92,196520.45,3252717.30
2022,Q4,2022-10-01,IMPS,3,92,14317.76,1407312.57
2022,Q4,2022-10-01,NFS_ATM_CASH_WITHDRAWAL,3,92,10205.63,421319.66
2022,Q4,2022-10-01,UPI,3,92,224437.63,3684151.75
2023,Q1,2023-01-01,IMPS,3,90,14193.78,1492373.25
2023,Q1,2023-01-01,NFS_ATM_CASH_WITHDRAWAL,3,90,9893.34,411680.28
2023,Q1,2023-01-01,UPI,3,90,242249.79,3939855.95
2023,Q2,2023-04-01,IMPS,3,91,14654.43,1549089.96
2023,Q2,2023-04-01,NFS_ATM_CASH_WITHDRAWAL,3,91,9969.97,424757.79
2023,Q2,2023-04-01,UPI,3,91,276135.09,4380114.41
2023,Q3,2023-07-01,IMPS,3,92,14517.73,1534088.64
2023,Q3,2023-07-01,NFS_ATM_CASH_WITHDRAWAL,3,92,9750.91,402149.84
2023,Q3,2023-07-01,UPI,3,92,311059.59,4689206.18
2023,Q4,2023-10-01,IMPS,3,92,14640.57,1643366.29
2023,Q4,2023-10-01,NFS_ATM_CASH_WITHDRAWAL,3,92,9843.88,415669.79
2023,Q4,2023-10-01,UPI,3,92,346643.08,5278458.40
2024,Q1,2024-01-01,IMPS,3,91,16240.63,1769107.24
2024,Q1,2024-01-01,NFS_ATM_CASH_WITHDRAWAL,3,91,9470.16,404475.56
2024,Q1,2024-01-01,UPI,3,91,377456.95,5647306.55
2024,Q2,2024-04-01,IMPS,3,91,16248.15,1776239.87
2024,Q2,2024-04-01,NFS_ATM_CASH_WITHDRAWAL,3,91,9230.20,401675.47
2024,Q2,2024-04-01,UPI,3,91,412249.79,6016482.77
2024,Q3,2024-07-01,IMPS,3,92,13735.57,1736297.14
2024,Q3,2024-07-01,NFS_ATM_CASH_WITHDRAWAL,3,92,8959.68,379589.44
2024,Q3,2024-07-01,UPI,3,92,444403.48,6189022.69
2024,Q4,2024-10-01,IMPS,3,92,13159.05,1789258.27
2024,Q4,2024-10-01,NFS_ATM_CASH_WITHDRAWAL,3,92,9015.91,394409.81
2024,Q4,2024-10-01,UPI,3,92,487969.96,6829708.81
2025,Q1,2025-01-01,IMPS,3,90,13106.91,1837314.61
2025,Q1,2025-01-01,NFS_ATM_CASH_WITHDRAWAL,3,90,8507.03,380551.13
2025,Q1,2025-01-01,UPI,3,90,514037.02,7021740.40
