month_start_date,npci_app_rows,npci_apps_total_volume_mn,idp_rbi_upi_volume_mn,volume_difference_mn,volume_ratio,npci_apps_total_value_crore,idp_rbi_upi_value_crore,value_difference_crore,value_ratio,idp_days_observed,idp_calendar_days,comparison_status
2022-01-01,59,4708.28,4617.156,91.124,1.019736,145455.21,831993.09,-686537.88,0.174827,31,31,volume_matches_value_not_comparable
2022-02-01,60,4613.79,4527.489,86.301,1.019062,143016.06,826843.02,-683826.96,0.172966,28,28,volume_matches_value_not_comparable
2022-03-01,66,5508.21,5405.651,102.559,1.018973,164657.21,960581.67,-795924.46,0.171414,31,31,volume_matches_value_not_comparable
2022-04-01,66,5682.79,5584.388,98.402,1.017621,999022.7,983573.45,15449.25,1.015707,30,30,close_match
2022-05-01,66,6057.96,5946.289,111.671,1.01878,1058019.84,1040220.53,17799.31,1.017111,31,31,close_match
2022-06-01,67,5961.01,5862.908,98.102,1.016733,1026703.31,1014412.62,12290.69,1.012116,30,30,close_match
2022-07-01,66,6392.76,6289.34,103.42,1.016444,1079166.28,1063117.04,16049.24,1.015096,31,31,close_match
2022-08-01,65,6689.72,6581.906,107.814,1.01638,1090507.15,1073162.17,17344.98,1.016162,31,31,close_match
2022-09-01,65,6889.89,6780.799,109.091,1.016088,1135581.71,1116438.09,19143.62,1.017147,30,30,close_match
2022-10-01,63,7414.33,7305.421,108.909,1.014908,1232584.95,1211587.5,20997.45,1.017331,31,31,close_match
2022-11-01,67,7412.62,7309.447,103.173,1.014115,1209884.43,1190593.39,19291.04,1.016203,30,30,close_match
2022-12-01,65,7939.28,7828.895,110.385,1.0141,1302209.59,1281970.86,20238.73,1.015787,31,31,close_match
2023-01-01,68,8142.85,8038.588,104.262,1.01297,1318096.09,1299058.78,19037.31,1.014655,31,31,close_match
2023-02-01,66,7633.4,7534.757,98.643,1.013092,1254871.77,1235846.58,19025.19,1.015394,28,28,close_match
2023-03-01,67,8790.56,8651.634,138.926,1.016058,1430902.95,1404950.59,25952.36,1.018472,31,31,close_match
2023-04-01,69,9003.64,8863.26,140.38,1.015838,1426567.87,1415504.71,11063.16,1.007816,30,30,close_match
2023-05-01,69,9523.59,9415.185,108.405,1.011514,1510804.04,1489145.45,21658.59,1.014544,31,31,close_match
2023-06-01,70,9443.17,9335.064,108.106,1.011581,1497138.3,1475464.25,21674.05,1.01469,30,30,close_match
2023-07-01,68,10077.36,9964.256,113.104,1.011351,1555797.56,1533536.46,22261.1,1.014516,31,31,close_match
2023-08-01,73,10705.36,10586.016,119.344,1.011274,1598819.45,1576536.54,22282.91,1.014134,31,31,close_match
2023-09-01,72,10670.24,10555.687,114.553,1.010852,1601346.38,1579133.18,22213.2,1.014067,30,30,close_match
2023-10-01,68,11531.58,11408.79,122.79,1.010763,1739704.07,1715768.34,23935.73,1.01395,31,31,close_match
2023-11-01,68,11349.21,11235.292,113.918,1.010139,1763347.75,1739740.61,23607.14,1.013569,30,30,close_match
2023-12-01,67,12146.44,12020.226,126.214,1.0105,1847497.11,1822949.45,24547.66,1.013466,31,31,close_match
2024-01-01,69,12325.59,12203.018,122.572,1.010044,1868072.94,1841083.97,26988.97,1.014659,31,31,close_match
2024-02-01,69,12175.04,12102.673,72.367,1.005979,1841161.32,1827869.35,13291.97,1.007272,29,29,close_match
2024-03-01,66,13460.81,13440.004,20.806,1.001548,1979266.83,1978353.23,913.6,1.000462,31,31,close_match
2024-04-01,70,13304.51,13303.994,0.516,1.000039,1964041.35,1964464.52,-423.17,0.999785,30,30,close_match
2024-05-01,68,13883.44,14035.843,-152.403,0.989142,2035517.75,2044937.05,-9419.3,0.995394,31,31,close_match
2024-06-01,70,13629.1,13885.142,-256.042,0.98156,1992273.93,2007081.2,-14807.27,0.992622,30,30,close_match
2024-07-01,72,14263.87,14435.554,-171.684,0.988107,2053340.36,2064292.41,-10952.05,0.994695,31,31,close_match
2024-08-01,70,14780.89,14963.047,-182.157,0.987826,2048869.36,2060735.57,-11866.21,0.994242,31,31,close_match
2024-09-01,76,14852.68,15041.747,-189.067,0.987431,2051431.95,2063994.71,-12562.76,0.993913,30,30,close_match
2024-10-01,77,16373.53,16584.966,-211.436,0.987251,2335087.68,2349821.46,-14733.78,0.99373,31,31,close_match
2024-11-01,81,15277.59,15482.021,-204.431,0.986796,2140312.71,2155187.41,-14874.7,0.993098,30,30,close_match
2024-12-01,83,16497.6,16730.009,-232.409,0.986108,2307565.49,2324699.94,-17134.45,0.992629,31,31,close_match
2025-01-01,83,16753.55,16996.001,-242.451,0.985735,2330558.44,2348037.11,-17478.67,0.992556,31,31,close_match
2025-02-01,82,15871.03,16106.193,-235.163,0.985399,2179674.5,2196481.7,-16807.2,0.992348,28,28,close_match
2025-03-01,82,18026.6,18301.508,-274.908,0.984979,2456606.85,2477221.59,-20614.74,0.991678,31,31,close_match
2025-04-01,84,17613.14,17893.424,-280.284,0.984336,2374630.76,2394925.87,-20295.11,0.991526,30,30,close_match
2025-05-01,83,18384.44,18677.46,-293.02,0.984312,2492219.42,2514297.01,-22077.59,0.991219,31,31,close_match
2025-07-01,85,19145.28,19467.948,-322.668,0.983426,2483181.18,2508498.1,-25316.92,0.989908,31,31,close_match
