year,month,month_start_date,app_name,customer_initiated_volume_mn,customer_initiated_value_crore,b2c_volume_mn,b2c_value_crore,b2b_volume_mn,b2b_value_crore,total_volume_mn,total_value_crore,source_reference
2022,1,2022-01-01,AU Small Finance Bank App,0.23,81.15,,,,,0.23,81.15,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Airtel Payments Bank Apps,8.53,2047.45,,,,,13.22,4729.77,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Allahabad Bank App,0.02,7.36,,,,,0.02,7.36,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Amazon Pay,73.5,6729.66,,,,,73.5,6729.66,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Axis Bank Apps,6.78,1058.77,40.47,34.25,,,47.25,1093.02,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,BHIM,25.82,8511.91,,,,,25.82,8511.91,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Bajaj Finserv,0.24,12.88,,,,,0.24,12.88,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Bank of Baroda Apps,0.71,342.85,,,,,0.71,342.85,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Bank of India App,0.05,20.23,,,,,0.05,20.23,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Bank of Maharashtra App,0.05,12.46,,,,,0.05,12.46,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Canara Bank App,0.26,98.95,,,,,0.26,98.95,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Central Bank of India App,0.13,47.33,,,,,0.13,47.33,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Citi Bank App,0.09,77.8,,,,,0.09,77.8,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,City Union Bank App,0.02,4.92,,,,,0.02,4.92,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Cointab,1.21,179.22,,,,,1.21,179.22,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Cred,10.68,14189.86,,,,,10.68,14189.86,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,DBS Digibank App,0.51,186.79,,,,,0.51,186.79,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Dena Bank App,0.02,26.5,,,,,0.02,26.5,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Deutsche Bank App,0.92,61.95,,,,0.13,0.92,62.08,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Dhanlaxmi Bank App,0.01,2.95,,,,,0.01,2.95,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Federal Bank App,0.54,109.25,,,,,0.54,109.25,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,1,2022-01-01,Fino Payments bank App,0.03,2.79,,,,,0.03,2.79,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
