year,month,month_start_date,total_volume_mn,total_value_crore,p2p_volume_mn,p2p_value_crore,p2m_volume_mn,p2m_value_crore,source_p2p_share_pct,source_p2m_share_pct,source_reference
2022,1,2022-01-01,4617.15,831993.11,2757.61,667270.65,1859.54,164722.46,59.73,40.27,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,2,2022-02-01,4527.49,826843.0,2631.65,663841.98,1895.84,163001.03,58.13,41.87,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,3,2022-03-01,5405.65,960581.66,3201.15,777823.3,2204.5,182758.36,59.22,40.78,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,4,2022-04-01,5583.05,983302.27,3319.85,805925.89,2263.2,177376.39,59.46,40.54,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,5,2022-05-01,5955.2,1041520.07,3408.55,827153.68,2546.65,214366.39,57.24,42.76,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,6,2022-06-01,5862.75,1014384.31,3302.67,800412.5,2560.08,213971.81,56.33,43.67,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,7,2022-07-01,6288.4,1062991.76,3289.15,832265.84,2999.25,230725.92,52.31,47.69,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,8,2022-08-01,6579.63,1072792.68,3289.26,833370.86,3290.37,239421.82,49.99,50.01,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,9,2022-09-01,6780.8,1116438.1,3233.61,862049.27,3547.19,254388.83,47.69,52.31,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,10,2022-10-01,7305.42,1211582.51,3436.66,928872.06,3868.76,282710.45,47.04,52.96,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,11,2022-11-01,7309.45,1190593.39,3401.49,921601.77,3907.96,268991.61,46.54,53.46,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2022,12,2022-12-01,7829.49,1282055.01,3602.19,991748.31,4227.3,290306.69,46.01,53.99,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2023,1,2023-01-01,8036.89,1298726.62,3625.95,997781.02,4410.94,300945.6,45.12,54.88,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2023,2,2023-02-01,7534.76,1235846.62,3381.56,956834.37,4153.2,279012.26,44.88,55.12,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2023,3,2023-03-01,8685.3,1410443.01,3859.05,1088096.36,4826.25,322346.66,44.43,55.57,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2023,4,2023-04-01,8898.14,1407007.55,3868.39,1085903.07,5029.74,321104.48,43.47,56.53,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2023,5,2023-05-01,9415.19,1489145.5,4045.48,1145072.32,5369.7,344073.18,42.97,57.03,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2023,6,2023-06-01,9335.06,1475464.27,3971.43,1125422.26,5363.63,350042.01,42.54,57.46,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2023,7,2023-07-01,9964.61,1533645.2,4184.42,1148397.97,5780.19,385247.22,41.99,58.01,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2023,8,2023-08-01,10586.02,1576536.56,4388.83,1179095.66,6197.18,397440.9,41.46,58.54,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2023,9,2023-09-01,10555.69,1579133.18,4373.12,1182916.93,6181.57,396216.25,41.43,58.56,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2023,10,2023-10-01,11408.79,1715768.34,4689.42,1273587.62,6719.37,442180.74,41.1,58.9,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2023,11,2023-11-01,11235.29,1739740.61,4649.47,1292866.82,6585.81,446873.79,41.38,58.62,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2023,12,2023-12-01,12020.23,1822949.42,4754.79,1347696.13,7265.44,475253.29,39.56,60.44,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2024,1,2024-01-01,12203.02,1841083.97,4753.09,1340323.61,7449.93,500760.37,38.95,61.05,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2024,2,2024-02-01,12102.68,1827869.33,4742.69,1348523.03,7359.98,479346.31,39.19,60.81,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2024,3,2024-03-01,13440.0,1978353.23,5144.03,1460125.24,8295.97,518227.99,38.27,61.73,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2024,4,2024-04-01,13303.99,1964464.52,4996.52,1433520.79,8307.47,530943.73,37.56,62.44,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2024,5,2024-05-01,14035.84,2044937.05,5231.01,1488235.39,8804.83,556701.66,37.27,62.73,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2024,6,2024-06-01,13885.14,2007081.16,5164.39,1447142.17,8720.75,559938.98,37.19,62.81,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2024,7,2024-07-01,14435.55,2064292.4,5435.96,1471369.99,8999.59,592922.41,37.66,62.34,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2024,8,2024-08-01,14963.05,2060735.57,5625.77,1484591.0,9337.28,576144.57,37.6,62.4,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2024,9,2024-09-01,15041.75,2063994.71,5688.87,1497941.07,9352.88,566053.64,37.82,62.18,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2024,10,2024-10-01,16584.97,2349821.45,6281.79,1681872.99,10303.18,667948.46,37.88,62.12,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2024,11,2024-11-01,15482.02,2155187.4,5833.16,1556010.77,9648.87,599176.63,37.68,62.32,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2024,12,2024-12-01,16730.01,2324699.91,6335.63,1692632.54,10394.38,632067.37,37.87,62.13,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2025,1,2025-01-01,16996.0,2348037.12,6426.25,1703333.03,10569.75,644704.09,37.81,62.19,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2025,2,2025-02-01,16106.19,2196481.69,6039.45,1606397.95,10066.74,590083.74,37.5,62.5,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2025,3,2025-03-01,18301.51,2477221.61,6840.45,1806811.06,11461.06,670410.55,37.38,62.62,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2025,4,2025-04-01,17893.42,2394925.87,6539.82,1731364.08,11353.6,663561.79,36.55,63.45,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2025,5,2025-05-01,18677.46,2514297.01,6823.8,1817672.02,11853.66,696624.99,36.53,63.47,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2025,6,2025-06-01,18395.01,2403930.69,6685.63,1721058.47,11709.38,682872.22,36.34,63.66,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2025,7,2025-07-01,19467.95,2508498.09,7079.843,1774485.73,12388.11,734012.36,36.37,63.63,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2025,8,2025-08-01,20008.31,2485472.91,7303.15,1761675.49,12705.16,723797.42,36.5,63.5,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2025,9,2025-09-01,19633.43,2489736.54,7266.46,1770169.25,12366.97,719567.29,37.01,62.99,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2025,10,2025-10-01,20700.92,2727790.68,7673.36,1902048.48,13027.56,825742.2,37.07,62.93,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2025,11,2025-11-01,20466.98,2631632.63,7626.49,1867080.57,12840.49,764552.06,37.26,62.74,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2025,12,2025-12-01,21634.67,2796712.73,8152.29,1989139.74,13482.38,807572.99,37.68,62.32,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2026,1,2026-01-01,21703.44,2833481.22,8095.35,1992655.39,13608.1,840825.83,37.3,62.7,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2026,2,2026-02-01,20394.18,2684229.29,7598.4,1911812.35,12795.78,772416.94,37.26,62.74,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
2026,3,2026-03-01,22641.11,2952542.05,8460.65,2091059.0,14180.46,861483.05,37.37,62.63,NPCI UPI Ecosystem Statistics via https://github.com/luckisalive/npci_upi_analytics@5c007daef0b69f30dd8e555c548ba6f3bd85c43f
