year,quarter,quarter_start_date,source_category,state_sum_transaction_count,state_sum_transaction_value_inr,country_transaction_count,country_transaction_value_inr,count_difference,value_difference_inr
2018,1,2018-01-01,P2P,47101116,147245883542.818418472,47101116,147245883542.81802,0,0.000398472
2018,1,2018-01-01,Retail,89921478,20568759999.92039640275,89921478,20568759999.93426,0,-0.01386359725
2018,1,2018-01-01,Utility,2955878,4708627267.64001463314,2955878,4708627267.640471,0,-0.00045636686
2018,2,2018-04-01,P2P,74704527,264767671095.227590953,74704527,264767671094.9749,0,0.252690953
2018,2,2018-04-01,Retail,111138041,30220874155.1294265752,111138041,30220874155.105717,0,0.0237095752
2018,2,2018-04-01,Utility,7805908,10291253167.80001014982,7805908,10291253167.801592,0,-0.00158185018
2018,3,2018-07-01,P2P,202136497,425967421714.245528527,202136497,425967421713.8337,0,0.411828527
2018,3,2018-07-01,Retail,133122344,35132218793.6214223353,133122344,35132218793.594055,0,0.0273673353
2018,3,2018-07-01,Utility,11767069,14933708388.5897792354,11767069,14933708388.59365,0,-0.0038707646
2018,4,2018-10-01,P2P,200253637,594995709377.66490683,200253637,594995709377.1013,0,0.56360683
2018,4,2018-10-01,Retail,212247229,57960942788.3090163012,212247229,57960942788.3355,0,-0.0264836988
2018,4,2018-10-01,Utility,15890009,20326596135.3796367808,15890009,20326596135.375454,0,0.0041827808
2019,1,2019-01-01,P2P,404853333,887893108631.53773793,404853333,887893108631.0564,0,0.48133793
2019,1,2019-01-01,Retail,290431981,75367801413.0997422033,290431981,75367801413.36275,0,-0.2630077967
2019,1,2019-01-01,Utility,25001026,29032725772.54024344875,25001026,29032725772.531696,0,0.00854744875
2019,2,2019-04-01,P2P,384919116,1196425281587.03158849,384919116,1196425281585.3062,0,1.72538849
2019,2,2019-04-01,Retail,414986396,119879927485.4386869305,414986396,119879927485.47314,0,-0.0344530695
2019,2,2019-04-01,Utility,27745731,40688149667.56000484285,27745731,40688149667.54643,0,0.01357484285
2019,3,2019-07-01,P2P,462141725,1440512511471.019894635,462141725,1440512511472.762,0,-1.742105365
2019,3,2019-07-01,Retail,591714936,161068395462.5622919653,591714936,161068395462.40607,0,0.1562219653
2019,3,2019-07-01,Utility,52085151,74111923414.63880675886,52085151,74111923414.74724,0,-0.10843324114
2019,4,2019-10-01,P2P,703745511,1963952535223.757209894,703745511,1963952535226.5454,0,-2.788190106
2019,4,2019-10-01,Retail,660286758,194478712200.2842130644,660286758,194478712200.18768,0,0.0965330644
2019,4,2019-10-01,Utility,106511932,104658746482.6766491336,106511932,104658746482.73447,0,-0.0578208664
2020,1,2020-01-01,P2P,694257483,2320557354590.12250031,694257483,2320557354594.0283,0,-3.90579969
2020,1,2020-01-01,Retail,778526397,257423762311.4597160902,778526397,257423762311.36432,0,0.0953960902
2020,1,2020-01-01,Utility,159916511,122026884303.4877043231,159916511,122026884303.45999,0,0.0277143231
2020,2,2020-04-01,P2P,631268435,2243916310867.010467523,631268435,2243916310864.9,0,2.110467523
2020,2,2020-04-01,Retail,610011327,280729736149.067457849,610011327,280729736148.84955,0,0.217907849
2020,2,2020-04-01,Utility,218793828,123986465830.4733319054,218793828,123986465830.5697,0,-0.0963680946
2020,3,2020-07-01,P2P,917047650,3287053651198.19342242,917047650,3287053651200.2812,0,-2.08777758
2020,3,2020-07-01,Retail,911011891,447822255630.9962080436,911011891,447822255630.6803,0,0.3159080436
2020,3,2020-07-01,Utility,219960397,170866832792.9566778003,219960397,170866832792.9354,0,0.0212778003
2020,4,2020-10-01,P2P,1249592359,4474550699831.890767245,1249592359,4474550699837.9,0,-6.009232755
2020,4,2020-10-01,Retail,1343719654,700734479235.684348313,1343719654,700734479235.8248,0,-0.140451687
2020,4,2020-10-01,Utility,288560685,224533438864.7307309063,288560685,224533438864.62445,0,0.1062809063
2021,1,2021-01-01,P2P,1447737856,5170856819487.432235404,1447737856,5170856819481.144,0,6.288235404
2021,1,2021-01-01,Retail,1485134324,820548066550.4964605967,1485134324,820548066550.2906,0,0.2058605967
2021,1,2021-01-01,Utility,532828981,296840849653.1653406895,532828981,296840849652.8541,0,0.3112406895
2021,2,2021-04-01,P2P,1744381804,6163165772736.44874178,1744381804,6163165772740.209,0,-3.76025822
2021,2,2021-04-01,Retail,1473347416,954714808552.391039371,1473347416,954714808552.6382,0,-0.247160629
2021,2,2021-04-01,Utility,732835741,362894718139.595329519,732835741,362894718139.4824,0,0.112929519
2021,3,2021-07-01,P2P,2215589893,7429347604773.568933495,2215589893,7429347604768.668,0,4.900933495
2021,3,2021-07-01,Retail,2278944000,1360427603452.284070433,2278944000,1360427603452.4253,0,-0.141229567
2021,3,2021-07-01,Utility,778122768,432126040995.425686831,778122768,432126040995.3407,0,0.084986831
2021,4,2021-10-01,P2P,2357658301,7988340721266.17248354,2357658301,7988340721262.672,0,3.50048354
2021,4,2021-10-01,Retail,2708036931,1670584805341.698648547,2708036931,1670584805340.616,0,1.082648547
2021,4,2021-10-01,Utility,698907805,439185882358.6750693976,698907805,439185882358.44446,0,0.2306093976
2022,1,2022-01-01,P2P,3004148819,10273681605898.96396046,3004148819,10273681605895.574,0,3.38996046
2022,1,2022-01-01,Retail,3643052357,2114880480789.194901228,3643052357,2114880480789.1416,0,0.053301228
2022,1,2022-01-01,Utility,776357606,514075186444.380121025,776357606,514075186444.3045,0,0.075621025
2022,2,2022-04-01,P2P,3425101859,11845669805595.12173703,3425101859,11845669805590.191,0,4.93073703
2022,2,2022-04-01,Retail,4617039926,2647118147438.897424405,4617039926,2647118147441.08,0,-2.182575595
