state_slug,state_name,year,quarter,quarter_start_date,registered_count,source_file
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,1,2019-01-01,5,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2019/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,2,2019-04-01,9,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2019/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,3,2019-07-01,22,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2019/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,4,2019-10-01,34,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2019/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,1,2020-01-01,55,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2020/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,2,2020-04-01,67,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2020/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,3,2020-07-01,76,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2020/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,4,2020-10-01,187,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2020/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,1,2021-01-01,329,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2021/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,2,2021-04-01,406,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2021/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,3,2021-07-01,589,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2021/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,4,2021-10-01,1110,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2021/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,1,2022-01-01,1618,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2022/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,2,2022-04-01,2036,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2022/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,3,2022-07-01,2469,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2022/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,4,2022-10-01,2740,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2022/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,1,2023-01-01,2880,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2023/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,2,2023-04-01,3030,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2023/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,3,2023-07-01,3143,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2023/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,4,2023-10-01,3205,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2023/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,1,2024-01-01,3255,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2024/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,2,2024-04-01,3440,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2024/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,3,2024-07-01,3739,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2024/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,4,2024-10-01,4041,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2024/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,1,2025-01-01,4344,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2025/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,2,2025-04-01,4589,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2025/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,3,2025-07-01,4894,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2025/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,4,2025-10-01,5260,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2025/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2026,1,2026-01-01,5541,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2026/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2026,2,2026-04-01,5789,data/aggregated/merchant/country/india/state/andaman-&-nicobar-islands/2026/2.json
andhra-pradesh,Andhra Pradesh,2018,1,2018-01-01,30,data/aggregated/merchant/country/india/state/andhra-pradesh/2018/1.json
andhra-pradesh,Andhra Pradesh,2018,2,2018-04-01,140,data/aggregated/merchant/country/india/state/andhra-pradesh/2018/2.json
andhra-pradesh,Andhra Pradesh,2018,3,2018-07-01,9605,data/aggregated/merchant/country/india/state/andhra-pradesh/2018/3.json
andhra-pradesh,Andhra Pradesh,2018,4,2018-10-01,28877,data/aggregated/merchant/country/india/state/andhra-pradesh/2018/4.json
andhra-pradesh,Andhra Pradesh,2019,1,2019-01-01,117391,data/aggregated/merchant/country/india/state/andhra-pradesh/2019/1.json
andhra-pradesh,Andhra Pradesh,2019,2,2019-04-01,202343,data/aggregated/merchant/country/india/state/andhra-pradesh/2019/2.json
andhra-pradesh,Andhra Pradesh,2019,3,2019-07-01,282013,data/aggregated/merchant/country/india/state/andhra-pradesh/2019/3.json
andhra-pradesh,Andhra Pradesh,2019,4,2019-10-01,355373,data/aggregated/merchant/country/india/state/andhra-pradesh/2019/4.json
andhra-pradesh,Andhra Pradesh,2020,1,2020-01-01,413286,data/aggregated/merchant/country/india/state/andhra-pradesh/2020/1.json
andhra-pradesh,Andhra Pradesh,2020,2,2020-04-01,443589,data/aggregated/merchant/country/india/state/andhra-pradesh/2020/2.json
andhra-pradesh,Andhra Pradesh,2020,3,2020-07-01,523633,data/aggregated/merchant/country/india/state/andhra-pradesh/2020/3.json
andhra-pradesh,Andhra Pradesh,2020,4,2020-10-01,669451,data/aggregated/merchant/country/india/state/andhra-pradesh/2020/4.json
andhra-pradesh,Andhra Pradesh,2021,1,2021-01-01,778520,data/aggregated/merchant/country/india/state/andhra-pradesh/2021/1.json
andhra-pradesh,Andhra Pradesh,2021,2,2021-04-01,835962,data/aggregated/merchant/country/india/state/andhra-pradesh/2021/2.json
andhra-pradesh,Andhra Pradesh,2021,3,2021-07-01,913133,data/aggregated/merchant/country/india/state/andhra-pradesh/2021/3.json
andhra-pradesh,Andhra Pradesh,2021,4,2021-10-01,1003391,data/aggregated/merchant/country/india/state/andhra-pradesh/2021/4.json
andhra-pradesh,Andhra Pradesh,2022,1,2022-01-01,1087914,data/aggregated/merchant/country/india/state/andhra-pradesh/2022/1.json
andhra-pradesh,Andhra Pradesh,2022,2,2022-04-01,1160039,data/aggregated/merchant/country/india/state/andhra-pradesh/2022/2.json
andhra-pradesh,Andhra Pradesh,2022,3,2022-07-01,1223491,data/aggregated/merchant/country/india/state/andhra-pradesh/2022/3.json
andhra-pradesh,Andhra Pradesh,2022,4,2022-10-01,1272711,data/aggregated/merchant/country/india/state/andhra-pradesh/2022/4.json
andhra-pradesh,Andhra Pradesh,2023,1,2023-01-01,1291077,data/aggregated/merchant/country/india/state/andhra-pradesh/2023/1.json
andhra-pradesh,Andhra Pradesh,2023,2,2023-04-01,1318135,data/aggregated/merchant/country/india/state/andhra-pradesh/2023/2.json
andhra-pradesh,Andhra Pradesh,2023,3,2023-07-01,1365791,data/aggregated/merchant/country/india/state/andhra-pradesh/2023/3.json
andhra-pradesh,Andhra Pradesh,2023,4,2023-10-01,1424574,data/aggregated/merchant/country/india/state/andhra-pradesh/2023/4.json
andhra-pradesh,Andhra Pradesh,2024,1,2024-01-01,1500986,data/aggregated/merchant/country/india/state/andhra-pradesh/2024/1.json
andhra-pradesh,Andhra Pradesh,2024,2,2024-04-01,1563902,data/aggregated/merchant/country/india/state/andhra-pradesh/2024/2.json
andhra-pradesh,Andhra Pradesh,2024,3,2024-07-01,1619870,data/aggregated/merchant/country/india/state/andhra-pradesh/2024/3.json
andhra-pradesh,Andhra Pradesh,2024,4,2024-10-01,1683203,data/aggregated/merchant/country/india/state/andhra-pradesh/2024/4.json
andhra-pradesh,Andhra Pradesh,2025,1,2025-01-01,1740695,data/aggregated/merchant/country/india/state/andhra-pradesh/2025/1.json
andhra-pradesh,Andhra Pradesh,2025,2,2025-04-01,1794867,data/aggregated/merchant/country/india/state/andhra-pradesh/2025/2.json
andhra-pradesh,Andhra Pradesh,2025,3,2025-07-01,1846994,data/aggregated/merchant/country/india/state/andhra-pradesh/2025/3.json
andhra-pradesh,Andhra Pradesh,2025,4,2025-10-01,1916104,data/aggregated/merchant/country/india/state/andhra-pradesh/2025/4.json
andhra-pradesh,Andhra Pradesh,2026,1,2026-01-01,1971965,data/aggregated/merchant/country/india/state/andhra-pradesh/2026/1.json
andhra-pradesh,Andhra Pradesh,2026,2,2026-04-01,2031948,data/aggregated/merchant/country/india/state/andhra-pradesh/2026/2.json
arunachal-pradesh,Arunachal Pradesh,2018,4,2018-10-01,2,data/aggregated/merchant/country/india/state/arunachal-pradesh/2018/4.json
arunachal-pradesh,Arunachal Pradesh,2019,1,2019-01-01,27,data/aggregated/merchant/country/india/state/arunachal-pradesh/2019/1.json
arunachal-pradesh,Arunachal Pradesh,2019,2,2019-04-01,81,data/aggregated/merchant/country/india/state/arunachal-pradesh/2019/2.json
arunachal-pradesh,Arunachal Pradesh,2019,3,2019-07-01,153,data/aggregated/merchant/country/india/state/arunachal-pradesh/2019/3.json
arunachal-pradesh,Arunachal Pradesh,2019,4,2019-10-01,195,data/aggregated/merchant/country/india/state/arunachal-pradesh/2019/4.json
arunachal-pradesh,Arunachal Pradesh,2020,1,2020-01-01,245,data/aggregated/merchant/country/india/state/arunachal-pradesh/2020/1.json
arunachal-pradesh,Arunachal Pradesh,2020,2,2020-04-01,290,data/aggregated/merchant/country/india/state/arunachal-pradesh/2020/2.json
arunachal-pradesh,Arunachal Pradesh,2020,3,2020-07-01,315,data/aggregated/merchant/country/india/state/arunachal-pradesh/2020/3.json
arunachal-pradesh,Arunachal Pradesh,2020,4,2020-10-01,364,data/aggregated/merchant/country/india/state/arunachal-pradesh/2020/4.json
arunachal-pradesh,Arunachal Pradesh,2021,1,2021-01-01,432,data/aggregated/merchant/country/india/state/arunachal-pradesh/2021/1.json
arunachal-pradesh,Arunachal Pradesh,2021,2,2021-04-01,565,data/aggregated/merchant/country/india/state/arunachal-pradesh/2021/2.json
arunachal-pradesh,Arunachal Pradesh,2021,3,2021-07-01,863,data/aggregated/merchant/country/india/state/arunachal-pradesh/2021/3.json
arunachal-pradesh,Arunachal Pradesh,2021,4,2021-10-01,1555,data/aggregated/merchant/country/india/state/arunachal-pradesh/2021/4.json
arunachal-pradesh,Arunachal Pradesh,2022,1,2022-01-01,2475,data/aggregated/merchant/country/india/state/arunachal-pradesh/2022/1.json
arunachal-pradesh,Arunachal Pradesh,2022,2,2022-04-01,3763,data/aggregated/merchant/country/india/state/arunachal-pradesh/2022/2.json
arunachal-pradesh,Arunachal Pradesh,2022,3,2022-07-01,7280,data/aggregated/merchant/country/india/state/arunachal-pradesh/2022/3.json
arunachal-pradesh,Arunachal Pradesh,2022,4,2022-10-01,9833,data/aggregated/merchant/country/india/state/arunachal-pradesh/2022/4.json
arunachal-pradesh,Arunachal Pradesh,2023,1,2023-01-01,10591,data/aggregated/merchant/country/india/state/arunachal-pradesh/2023/1.json
arunachal-pradesh,Arunachal Pradesh,2023,2,2023-04-01,11544,data/aggregated/merchant/country/india/state/arunachal-pradesh/2023/2.json
arunachal-pradesh,Arunachal Pradesh,2023,3,2023-07-01,13508,data/aggregated/merchant/country/india/state/arunachal-pradesh/2023/3.json
arunachal-pradesh,Arunachal Pradesh,2023,4,2023-10-01,15170,data/aggregated/merchant/country/india/state/arunachal-pradesh/2023/4.json
arunachal-pradesh,Arunachal Pradesh,2024,1,2024-01-01,16887,data/aggregated/merchant/country/india/state/arunachal-pradesh/2024/1.json
arunachal-pradesh,Arunachal Pradesh,2024,2,2024-04-01,18807,data/aggregated/merchant/country/india/state/arunachal-pradesh/2024/2.json
arunachal-pradesh,Arunachal Pradesh,2024,3,2024-07-01,20805,data/aggregated/merchant/country/india/state/arunachal-pradesh/2024/3.json
arunachal-pradesh,Arunachal Pradesh,2024,4,2024-10-01,22873,data/aggregated/merchant/country/india/state/arunachal-pradesh/2024/4.json
