state_slug,state_name,year,quarter,quarter_start_date,source_category,transaction_count,transaction_value_inr,source_file
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,1,2018-01-01,P2P,2297,15513455.551771518,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2018/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,1,2018-01-01,Retail,6656,1848410.3295102227,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2018/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,1,2018-01-01,Utility,136,1207260.323170079,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2018/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,2,2018-04-01,P2P,4383,30744177.30506663,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2018/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,2,2018-04-01,Retail,10462,3511612.7506313515,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2018/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,2,2018-04-01,Utility,217,1261485.808650783,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2018/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,3,2018-07-01,P2P,7608,59724958.86573778,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2018/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,3,2018-07-01,Utility,408,2981726.8423904683,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2018/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,3,2018-07-01,Retail,13138,4636739.004343481,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2018/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,4,2018-10-01,P2P,12260,96899260.68219608,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2018/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,4,2018-10-01,Retail,18359,7469343.384946894,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2018/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,4,2018-10-01,Utility,520,3614453.453516159,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2018/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,1,2019-01-01,P2P,15423,113322658.71162094,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2019/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,1,2019-01-01,Retail,24638,8596448.53402566,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2019/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,1,2019-01-01,Utility,665,4433622.77843368,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2019/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,2,2019-04-01,P2P,18528,147031315.43187344,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2019/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,2,2019-04-01,Retail,27418,11684888.200027674,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2019/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,2,2019-04-01,Utility,818,4638592.410453087,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2019/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,3,2019-07-01,P2P,17346,136433844.7112736,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2019/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,3,2019-07-01,Utility,1570,5691191.116865713,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2019/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,3,2019-07-01,Retail,21707,9303261.124080405,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2019/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,4,2019-10-01,P2P,19490,153165110.298888,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2019/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,4,2019-10-01,Retail,18325,8737412.792066216,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2019/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,4,2019-10-01,Utility,3850,8938140.80493423,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2019/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,1,2020-01-01,P2P,19682,159741233.71285078,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,1,2020-01-01,Retail,23473,12529811.082064983,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,1,2020-01-01,Utility,5949,8756303.866879353,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,2,2020-04-01,P2P,23455,166776847.66930902,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,2,2020-04-01,Retail,43610,19545158.586792476,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,2,2020-04-01,Utility,11620,10930551.064741788,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,3,2020-07-01,P2P,48650,334973608.15923077,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,3,2020-07-01,Retail,76639,42364469.24439745,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,3,2020-07-01,Utility,18700,14745764.312034247,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,4,2020-10-01,P2P,95937,617700235.1702638,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/4.json
