state_slug,state_name,year,quarter,quarter_start_date,registered_count,source_file
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,1,2018-01-01,9292,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2018/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,2,2018-04-01,12739,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2018/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,3,2018-07-01,15949,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2018/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,4,2018-10-01,20050,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2018/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,1,2019-01-01,24369,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2019/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,2,2019-04-01,28099,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2019/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,3,2019-07-01,31181,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2019/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,4,2019-10-01,33871,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2019/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,1,2020-01-01,36875,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2020/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,2,2020-04-01,41393,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2020/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,3,2020-07-01,50005,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2020/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,4,2020-10-01,61520,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2020/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,1,2021-01-01,69111,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2021/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,2,2021-04-01,77369,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2021/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,3,2021-07-01,85547,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2021/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,4,2021-10-01,94375,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2021/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,1,2022-01-01,102605,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2022/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,2,2022-04-01,111074,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2022/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,3,2022-07-01,119671,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2022/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,4,2022-10-01,127606,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2022/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,1,2023-01-01,134328,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2023/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,2,2023-04-01,141172,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2023/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,3,2023-07-01,148091,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2023/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,4,2023-10-01,155470,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2023/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,1,2024-01-01,162750,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2024/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,2,2024-04-01,170651,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2024/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,3,2024-07-01,178309,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2024/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,4,2024-10-01,184669,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2024/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,1,2025-01-01,190713,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2025/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,2,2025-04-01,196844,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2025/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,3,2025-07-01,203056,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2025/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,4,2025-10-01,209295,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2025/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2026,1,2026-01-01,214818,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2026/1.json
