as_of_date,state_slug,state_name,beneficiaries_rural_semiurban_count,beneficiaries_urban_metro_count,total_beneficiaries_count,balance_in_beneficiary_accounts_crore,rupay_debit_cards_issued_count,source_table,source_url,interpretation_note
2026-08-19,andaman-&-nicobar-islands,Andaman & Nicobar Islands,47493,18320,65813,57.48,40013,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,andhra-pradesh,Andhra Pradesh,12604118,4707132,17311250,6948.44,11334187,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,arunachal-pradesh,Arunachal Pradesh,460684,11654,472338,278.84,319851,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,assam,Assam,23412382,2668814,26081196,7504.08,16566489,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,bihar,Bihar,61241472,9005388,70246860,31373.75,50516798,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,chandigarh,Chandigarh,51112,295168,346280,222.24,226266,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,chhattisgarh,Chhattisgarh,15543325,3314965,18858290,9321.06,11626172,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,dadra-&-nagar-haveli-&-daman-&-diu,Dadra & Nagar Haveli and Daman & Diu,235358,12982,248340,197.03,180460,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,delhi,Delhi,656622,6494907,7151529,4028.16,5611940,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,goa,Goa,202646,35306,237952,245.00,171350,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,gujarat,Gujarat,13684078,6443000,20127078,12788.31,15422628,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,haryana,Haryana,6500991,4774082,11275073,8236.66,7848054,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,himachal-pradesh,Himachal Pradesh,1881155,135522,2016677,1565.27,1321934,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,jammu-&-kashmir,Jammu & Kashmir,2067527,421026,2488553,1855.16,1666240,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,jharkhand,Jharkhand,18667841,2059607,20727448,12544.84,14170231,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,karnataka,Karnataka,15319127,6718078,22037205,14246.03,13799300,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
