state_slug,state_name,year,population_persons,source_state_or_aggregation,source_table,source_date_basis,source_url,method_note
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2011,381000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2012,383000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2013,385000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2014,387000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2015,390000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2016,392000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2017,394000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2018,395000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2019,397000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,399000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,400000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2022,402000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2023,403000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2024,404000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,405000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2026,406000,Andaman & Nicobar,Table 8: projected total population by sex as on 1 March,1 March of each calendar year,https://nhm.gov.in/New_Updates_2018/Report_Population_Projection_2019.pdf,Dadra & Nagar Haveli and Daman & Diu are summed to match the merged PhonePe geography.
