as_of_date,state_slug,state_name,rural_subscribers_mn,urban_subscribers_mn,total_subscribers_mn,rural_subscribers_per_100_population,urban_subscribers_per_100_population,total_subscribers_per_100_population,source_table,source_url,interpretation_note
2024-06-30,andhra-pradesh,Andhra Pradesh,18.04,17.90,35.94,53.87,89.92,67.31,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,arunachal-pradesh,Arunachal Pradesh,0.55,0.38,0.94,47.39,93.35,59.32,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,assam,Assam,13.21,7.03,20.24,43.35,123.66,55.98,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,bihar,Bihar,37.74,17.46,55.21,33.34,109.14,42.73,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,chhattisgarh,Chhattisgarh,8.62,8.90,17.52,38.85,105.47,57.20,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,goa,Goa,0.83,1.62,2.45,229.51,132.36,154.54,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,gujarat,Gujarat,19.03,37.34,56.38,51.76,104.08,77.60,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,haryana,Haryana,10.08,19.97,30.05,57.46,151.76,97.89,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,himachal-pradesh,Himachal Pradesh,4.07,2.62,6.68,60.38,336.26,88.92,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,jharkhand,Jharkhand,11.17,8.78,19.95,37.82,82.86,49.71,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,karnataka,Karnataka,21.00,37.70,58.70,55.98,122.60,85.99,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,kerala,Kerala,16.65,18.10,34.75,211.12,64.45,96.61,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
